rk,college,players (from player),player_Tm (from player_Tm),Total_Yrs,Total_G,Total_MP,Total_PTS,Total_TRB,AST,Total_BPM,Total_WS,Total_VOBP
1,Kansas,"Andrew Wiggins,Andrew Wiggins Joel Embiid","CLE, PHI",10,663,66,44,16,5,2,38,10
2,Duke,"Jabari Parker,Rodney Hood","MIL, UTA",12,626,56,27,9,4,-1,30,6
4,Arizona,"Aaron Gordon,Nick Johnson","ORL, HOU",7,431,38,15,8,3,-7,22,5
6,Oklahoma State,"Marcus Smart,Markel Brown","BOS, MIN",9,514,45,15,6,5,-3,22,5
7,Kentucky,Julius Randle,LAL,6,375,29,16,9,3,-1,21,4
8,Michigan,"Nik Stauskas,Mitch McGary,Glenn Robinson","SAC, OKC, MIN",13,668,48,17,8,3,-7,13,-1
9,Indiana,Noah Vonleh,CHH,6,335,17,5,5,1,-2,9,-1
10,LA-Lafayette,Elfrid Payton,PHI,6,387,29,11,4,7,-1,15,4
11,Creighton,Doug McDermott,DEN,6,410,20,8,2,1,-2,14,-0
13,UCLA,"Zach LaVine,Jordan Adams,Kyle Anderson","MIN, MEM, SAS",14,752,59,26,9,6,2,30,10
14,NC State,T.J. Warren,PHO,6,328,29,16,4,1,-0,20,4
15,Michigan State,"Adreian Payne,Gary Harris","ATL, CHI",10,475,42,16,6,3,-7,17,2
18,Syracuse,"Tyler Ennis,Jerami Grant","PHO, PHI",10,640,37,14,5,3,-4,24,2
24,UConn,"Shabazz Napier,DeAndre Daniels","CHH, TOR",6,345,17,7,2,3,-1,8,2
26,UNC,P.J. Hairston,MIA,2,111,18,6,2,1,-4,1,-1
28,Washington,C.J. Wilcox,LAC,3,66,6,2,1,1,-4,0,-0
29,Stanford,"Josh Huestis,Dwight Powell","OKC, CHH",9,447,33,10,7,1,-2,27,6
32,Clemson,K.J. McDaniels,PHI,3,148,14,5,2,1,-3,1,-0
33,Virginia,Joe Harris,CLE,6,331,24,10,3,2,-1,15,3
34,Wichita State,Cleanthony Early,NYK,2,56,14,4,2,1,-6,-1,-1
35,Tennessee,"Jarnell Stokes,Jordan McRae","UTA, SAS",7,151,19,9,3,2,-2,2,0
36,LSU,Johnny O'Bryant,MIL,4,147,12,4,2,1,-6,0,-2
38,Colorado,Spencer Dinwiddie,DET,6,317,26,13,3,5,0,18,5
46,Missouri,Jordan Clarkson,WAS,6,453,27,15,3,3,-1,14,4
47,Louisville,Russ Smith,PHI,2,27,5,2,1,1,-5,-0,-0
48,Pitt,Lamar Patterson,MIL,2,40,11,2,1,1,-6,0,-0
49,New Mexico,Cameron Bairstow,CHI,2,36,5,1,1,0,-8,-0,-0
55,Xavier,Semaj Christon,MIA,1,64,15,3,1,2,-5,0,-1
56,Iowa,Devyn Marble,DEN,2,44,10,2,2,1,-6,-0,-0
60,Baylor,Cory Jefferson,SAS,2,58,10,4,3,0,-3,1,-0
